"","state_name","state_fips","topic","policy_details","exists_tf","value_num","value_char","date_effective","end_date","comments","citations"
"1","Alabama","01","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,NA,NA,NA,NA,NA,NA
"2","Alaska","02","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,NA,NA,NA,NA,NA,NA
"3","Arizona","04","paid sick leave","Number of employees to trigger requirement to provide PSL",TRUE,1,"One or more employees",NA,NA,NA,"(Ariz. Rev. Stat. Sec. 23-372)"
"4","Arkansas","05","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,NA,NA,NA,NA,NA,NA
"5","California","06","paid sick leave","Number of employees to trigger requirement to provide PSL",TRUE,1,"One or more employees",NA,NA,NA,"(Cal. Lab. Code Sec. 246)"
"6","Colorado","08","paid sick leave","Number of employees to trigger requirement to provide PSL",TRUE,16,"16 or more employees",NA,NA,NA,"(Colo. Rev. Stat. Sec. 8-13.3-403(1)(b))"
"7","Connecticut","09","paid sick leave","Number of employees to trigger requirement to provide PSL",TRUE,50,"50 or more employees",NA,NA,NA,"(Conn. Gen. Stat. Sec. 31-57r(4))"
"8","Delaware","10","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,NA,NA,NA,NA,NA,NA
"9","District of Columbia","11","paid sick leave","Number of employees to trigger requirement to provide PSL",TRUE,1,"One or more employees",NA,NA,NA,"(D.C. Code Sec. 32-531.02(a))"
"10","Florida","12","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,NA,NA,NA,NA,NA,NA
"11","Georgia","13","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,NA,NA,NA,NA,NA,NA
"12","Hawaii","15","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,NA,NA,NA,NA,NA,NA
"13","Idaho","16","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,NA,NA,NA,NA,NA,NA
"14","Illinois","17","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,NA,NA,NA,NA,NA,NA
"15","Indiana","18","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,NA,NA,NA,NA,NA,NA
"16","Iowa","19","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,NA,NA,NA,NA,NA,NA
"17","Kansas","20","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,NA,NA,NA,NA,NA,NA
"18","Kentucky","21","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,NA,NA,NA,NA,NA,NA
"19","Louisiana","22","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,NA,NA,NA,NA,NA,NA
"20","Maine","23","paid sick leave","Number of employees to trigger requirement to provide PSL",TRUE,10,"10 or more employees",NA,NA,NA,"(Me. Rev. Stat. tit. 26, Sec. 637(2))"
"21","Maryland","24","paid sick leave","Number of employees to trigger requirement to provide PSL",TRUE,15,"15 or more employees",NA,NA,NA,"(Md. Code, Lab. & Empl. Sec. 3-1304(a)(1)(i))"
"22","Massachusetts","25","paid sick leave","Number of employees to trigger requirement to provide PSL",TRUE,11,"11 or more employees",NA,NA,NA,"(Mass. Gen. Laws ch. 149, Sec. 148(d)(4))"
"23","Michigan","26","paid sick leave","Number of employees to trigger requirement to provide PSL",TRUE,50,"50 or more employees",NA,NA,NA,"(Mich. Comp. Laws Sec. 408.962(f))"
"24","Minnesota","27","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,NA,NA,NA,NA,NA,NA
"25","Mississippi","28","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,NA,NA,NA,NA,NA,NA
"26","Missouri","29","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,NA,NA,NA,NA,NA,NA
"27","Montana","30","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,NA,NA,NA,NA,NA,NA
"28","Nebraska","31","paid sick leave","Number of employees to trigger requirement to provide PSL",FALSE,NA,NA,NA,NA,NA,NA
"29","Nevada","32","paid sick leave","Number of employees to trigger requirement to provide PSL",TRUE,50,"50 or more employees",NA,NA,NA,"(Nev. Rev. Stat. Sec. 608.0197(9)(b))"
